n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.7272647278806811,0.6281971497915241,0.9782440158930129,0.7650826133090799
10,5,1000,5,0.7225790839896168,0.622602028347996,0.9875714701036922,0.7637239105182299
10,7,1000,5,0.8033459457081262,0.701361516085168,0.9871838356429886,0.8200819135982611
30,3,1000,5,0.6527013946940032,0.5667184770498342,0.9981829634654521,0.7229704238574449
30,5,1000,5,0.6839390206344318,0.590066215653323,0.9952757050101754,0.7408856867183061
30,7,1000,5,0.7568304808834528,0.6514873707836752,0.9985705979261557,0.788525186049626
50,3,1000,5,0.6183510053235954,0.5433756231371825,0.998207190619246,0.7036942152994825
50,5,1000,5,0.6901645474943904,0.5946969149627918,0.9970927415447233,0.7450330826114897
50,7,1000,5,0.7049694223239034,0.6061924145126449,0.9994185483089446,0.7546534707803196
100,3,1000,5,0.6411522724272956,0.5586230263603713,0.9985948250799496,0.7164547500890832
100,5,1000,5,0.6473997976153812,0.5629223145910971,0.9990793681558291,0.7201068687627147
100,7,1000,5,0.6703990496722249,0.5793996237117744,0.9997577284620602,0.7336308201034685
250,3,1000,5,0.6273593206916275,0.5492522605302758,0.9992489582323869,0.7088657632187266
250,5,1000,5,0.6242135597694575,0.5471395425919788,0.9998061827696482,0.7072432969726052
250,7,1000,5,0.6340028157860003,0.5536670109869472,0.9999030913848241,0.7126982619432045
500,3,1000,5,0.5842425975625852,0.521989349995573,0.9998304099234422,0.6858904576314849
500,5,1000,5,0.6193849267455673,0.5439641539272536,1.0,0.7046331387210215
500,7,1000,5,0.616811122354701,0.5422918254197651,1.0,0.7032285543913451
