n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
100,4,1000,5,0.6400331074838312,0.5569235878822385,0.9989787234042553,0.7151539152818607
100,6,1000,5,0.6542385278718817,0.5667832589554939,0.9998297872340426,0.7234546994072819
200,4,1000,5,0.6242685555897752,0.5462618560535615,0.9999148936170212,0.7065367731072223
200,6,1000,5,0.6346627656298122,0.5532040114882998,0.9999574468085106,0.7123283518748674
10,8,1000,5,0.825896981829381,0.7260925329245784,0.9877021276595744,0.8369300665260425
10,10,1000,5,0.8410455805358793,0.7421671433110899,0.993872340425532,0.8497726032381299
10,12,1000,5,0.846589159223899,0.7484481986305753,0.9954042553191489,0.8544398582751945
10,14,1000,5,0.8586002463812751,0.7627692107489101,0.9977021276595744,0.8645599026512777
20,8,1000,5,0.7861680012319063,0.6800755704112774,0.9956595744680851,0.8081512822726881
20,10,1000,5,0.8133661841700031,0.7084818461910227,0.9980851063829788,0.8287107373776631
20,12,1000,5,0.8245880813058207,0.720842415497498,0.9991489361702127,0.8374797139443226
20,14,1000,5,0.824299353249153,0.7204294478527608,0.9994042553191489,0.8372905525846702
