n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
100,3,1000,5,0.6098321527563905,0.536958213190535,0.998468085106383,0.6983541176820739
100,5,1000,5,0.6368186017862643,0.5547181401502622,0.9991063829787235,0.7133655394524959
200,3,1000,5,0.6018055127810287,0.5318421588825247,0.9996595744680851,0.694300365001256
200,5,1000,5,0.6354519556513705,0.5537460818741015,0.9998297872340426,0.7127451426491331
n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
300,3,1000,5,0.5785917770249461,0.5177056477380402,0.9997446808510638,0.6821619895181545
300,4,1000,5,0.6185324915306437,0.5425409002680469,0.9991063829787235,0.7032167245717024
300,5,1000,5,0.6263666461348938,0.5476517888358,0.999872340425532,0.7076876741209246
300,6,1000,5,0.6361641515244841,0.5542242558611256,0.9999148936170212,0.7131627667000516
300,7,1000,5,0.640437326763166,0.557141502276176,0.9999148936170212,0.7155734210366039
