n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.8374268555589776,0.8098295875524821,0.8371914893617022,0.8232832573126334
10,4,1000,5,0.8516707730212504,0.8410936420179682,0.8286382978723404,0.8348195147046215
10,5,1000,5,0.8548660301817061,0.8227633069082673,0.8656170212765958,0.8436463171864632
10,6,1000,5,0.8829881429011395,0.8790634927542539,0.8595744680851064,0.869209750640074
10,7,1000,5,0.8973860486603018,0.8996172964412968,0.8702553191489362,0.8846927519304393
20,3,1000,5,0.84529950723745,0.8446177847113885,0.8063404255319149,0.8250353760748884
20,4,1000,5,0.8647212811826301,0.8488352393053791,0.8528085106382979,0.850817236255572
20,5,1000,5,0.8722474591931013,0.8667304597451176,0.8479574468085106,0.8572411864661977
20,6,1000,5,0.8852787188173699,0.8774640612894895,0.867531914893617,0.8724697222578851
20,7,1000,5,0.902987372959655,0.9069306057666873,0.8753617021276596,0.8908665713914512
30,3,1000,5,0.8455304896827841,0.8218995714939469,0.8406808510638298,0.8311841302564318
30,4,1000,5,0.8629119186941793,0.8526093696176369,0.8425957446808511,0.8475729817652599
30,5,1000,5,0.8767516168771173,0.8696009338925159,0.855872340425532,0.8626820219176907
30,6,1000,5,0.8922466892516169,0.8898179601080045,0.8694468085106383,0.8795144419095174
30,7,1000,5,0.89653911302741,0.9015819559533833,0.8657872340425532,0.8833221177849654
40,3,1000,5,0.8540768401601478,0.8294631400306304,0.8527234042553191,0.8409324576680165
40,4,1000,5,0.8698028949799815,0.8551481198540022,0.857404255319149,0.8562747014576516
40,5,1000,5,0.8747497690175546,0.8658972481805263,0.8556170212765958,0.8607264399306521
40,6,1000,5,0.8882622420696027,0.8858650617122421,0.8643404255319149,0.8749703848887549
40,7,1000,5,0.9005043116723129,0.9025782931435851,0.8744255319148936,0.8882789028897486
50,3,1000,5,0.8405643671080998,0.8048399374974959,0.8548085106382979,0.8290719990094719
50,4,1000,5,0.8703033569448722,0.8648354518544314,0.845404255319149,0.8550094680667929
50,5,1000,5,0.8829688943640284,0.8857054291028252,0.8511063829787234,0.8680612820624105
50,6,1000,5,0.8866646134893748,0.8800604229607251,0.8677021276595744,0.8738375830297835
50,7,1000,5,0.9027178934400986,0.9033852344296711,0.8789361702127659,0.8909930118195152
