n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.8507660917770249,0.8400345497732671,0.8277021276595745,0.8338227413996356
10,5,1000,5,0.8748845087773329,0.8706287607918375,0.8496595744680852,0.8600163673170521
10,7,1000,5,0.8945950107791808,0.8913156752062528,0.8734893617021277,0.8823124865678057
30,3,1000,5,0.8340198644902987,0.8122140608604407,0.8234468085106383,0.8177918647649234
30,5,1000,5,0.8817369879889129,0.8736008265885999,0.8634893617021276,0.8685156651258347
30,7,1000,5,0.901043270711426,0.9022744204391078,0.876127659574468,0.8890088300697339
50,3,1000,5,0.8513435478903604,0.8322732825070553,0.8408085106382979,0.8365191253360429
50,5,1000,5,0.8799661225746843,0.8694889136204093,0.8643829787234043,0.8669284281507404
50,7,1000,5,0.9026024022174315,0.900208351419394,0.8825106382978724,0.8912716489750312
100,3,1000,5,0.8458192177394518,0.8199355584930601,0.8446382978723405,0.8321036304183784
100,5,1000,5,0.8786957191253465,0.8688341768894227,0.8619574468085106,0.8653821506386978
100,7,1000,5,0.9035455805358793,0.9004895377550578,0.8845106382978724,0.8924285683618487
250,3,1000,5,0.849476439790576,0.819530485816759,0.8556595744680852,0.8372054292613873
250,5,1000,5,0.880793809670465,0.8730760939857728,0.8617446808510638,0.8673733804475854
250,7,1000,5,0.9036995688327687,0.9066525964032889,0.8774468085106383,0.8918106524230694
500,3,1000,5,0.8470511241145673,0.8218424101969872,0.845063829787234,0.833291372943941
500,7,1000,5,0.9030643671080998,0.9026517794836009,0.8806808510638298,0.8915309726888946
