n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.9502923976608186,0.9261221234905445,1.0,0.9616351044922474
10,4,1000,5,0.9473684210526315,0.9339674410096945,0.9859154929577465,0.9588884659307194
10,5,1000,5,0.9590643274853802,0.9464035087719299,0.9906103286384976,0.9678746997729384
10,6,1000,5,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104
10,7,1000,5,0.9444444444444443,0.9369904150726068,0.9765258215962441,0.9563205269511363
20,3,1000,5,0.9502923976608186,0.9298739272423484,0.9953051643192489,0.9614499878687744
20,4,1000,5,0.9502923976608186,0.9495814307458144,0.971830985915493,0.9605672105672106
20,5,1000,5,0.9532163742690059,0.9498282529104447,0.9765258215962441,0.9629618465825364
20,6,1000,5,0.956140350877193,0.941981981981982,0.9906103286384976,0.9656746968981262
20,7,1000,5,0.9502923976608186,0.9414949195771113,0.9812206572769954,0.9609182281005616
30,3,1000,5,0.9590643274853802,0.9422743796428007,0.9953051643192489,0.9680354585543869
30,4,1000,5,0.9502923976608186,0.933831309281922,0.9906103286384976,0.9612597291168719
30,5,1000,5,0.9590643274853802,0.9383625730994152,1.0,0.9681918429472245
30,6,1000,5,0.9502923976608187,0.9336178283546704,0.9906103286384976,0.9612323090155602
30,7,1000,5,0.9532163742690059,0.9378755106945446,0.9906103286384976,0.9634353741496599
100,3,1000,5,0.9532163742690059,0.9302741702741703,1.0,0.9638405528816488
100,4,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
100,5,1000,5,0.956140350877193,0.9381223328591749,0.9953051643192489,0.9658300101649854
100,6,1000,5,0.9502923976608186,0.9414949195771113,0.9812206572769954,0.9609182281005616
100,7,1000,5,0.9532163742690059,0.9378299351983563,0.9906103286384976,0.963469248508725
300,3,1000,5,0.9502923976608186,0.9261221234905445,1.0,0.9616351044922474
300,4,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
300,5,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
300,6,1000,5,0.956140350877193,0.9342105263157895,1.0,0.9659863945578232
300,7,1000,5,0.9502923976608186,0.9336257309941521,0.9906103286384976,0.9612648712453017
500,3,1000,5,0.9502923976608186,0.9261221234905447,1.0,0.9616351044922474
500,4,1000,5,0.9590643274853802,0.9422743796428007,0.9953051643192489,0.9680354585543869
500,5,1000,5,0.956140350877193,0.9420341394025605,0.9906103286384976,0.965673625772148
500,6,1000,5,0.9590643274853802,0.9422743796428007,0.9953051643192489,0.9680354585543869
500,7,1000,5,0.9532163742690059,0.9378299351983562,0.9906103286384976,0.9634692485087247
