n_trees,max_depth,tournament_size,max_features,accuracy,precision,recall,f1
300,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,20,5,0.8830409356725145,0.9887947269303202,0.8215962441314554,0.8974319524292896
100,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,15,20,5,0.871345029239766,0.9828526117553772,0.8075117370892019,0.8865384615384615
30,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,20,5,0.8801169590643275,0.9831320103537532,0.8215962441314554,0.8949514226231784
20,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,15,20,5,0.8801169590643275,0.9833239118145846,0.8215962441314554,0.8951175439547532
10,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,15,20,5,0.9064327485380117,0.978883110768704,0.868544600938967,0.9199104401050873
500,15,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,15,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,15,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
