n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.9502923976608186,0.9495814307458144,0.971830985915493,0.9605672105672106
10,4,1000,5,0.9649122807017544,0.9590740740740741,0.9859154929577465,0.9722195612606571
10,5,1000,5,0.9590643274853802,0.9543944629561069,0.9812206572769954,0.9675914762121659
10,6,1000,5,0.9678362573099415,0.9682833518449957,0.9812206572769954,0.9744845831052729
10,7,1000,5,0.9678362573099415,0.9632800608828006,0.9859154929577465,0.9744560994560995
20,3,1000,5,0.9649122807017544,0.9548249619482495,0.9906103286384976,0.9723490613901573
20,4,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
20,5,1000,5,0.9649122807017543,0.9633982574123419,0.9812206572769954,0.972155899790674
20,6,1000,5,0.9590643274853802,0.954337899543379,0.9812206572769954,0.9675925925925926
20,7,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
30,3,1000,5,0.9649122807017544,0.9631532217148656,0.9812206572769954,0.9720927220927221
30,4,1000,5,0.9619883040935672,0.9545847217080093,0.9859154929577465,0.9699872286079182
30,5,1000,5,0.9619883040935672,0.9587138508371384,0.9812206572769954,0.9698264698264699
30,6,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
30,7,1000,5,0.9619883040935672,0.9587138508371384,0.9812206572769954,0.9698264698264699
