n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.9532163742690059,0.9539573820395738,0.971830985915493,0.9628010878010879
10,4,1000,5,0.9590643274853802,0.9383625730994152,1.0,0.9681918429472246
10,5,1000,5,0.9532163742690059,0.9456991237813156,0.9812206572769954,0.9631226053639846
10,6,1000,5,0.9444444444444443,0.9292397660818713,0.9859154929577465,0.9567297238530115
10,15,1000,5,0.9502923976608186,0.9298739272423484,0.9953051643192489,0.9614499878687747
20,3,1000,5,0.9502923976608186,0.9261221234905447,1.0,0.9616351044922474
20,4,1000,5,0.9502923976608186,0.9375831130337259,0.9859154929577465,0.9610746124933991
20,5,1000,5,0.956140350877193,0.9381223328591749,0.9953051643192489,0.9658300101649854
20,6,1000,5,0.9502923976608186,0.9377431158253077,0.9859154929577465,0.9611033447240344
20,15,1000,5,0.9444444444444443,0.9332386113208031,0.9812206572769954,0.9565056435746091
30,3,1000,5,0.9473684210526315,0.9297871078692997,0.9906103286384976,0.9590840840840841
30,4,1000,5,0.9590643274853802,0.9383625730994152,1.0,0.9681918429472245
30,5,1000,5,0.9532163742690059,0.9417873172379302,0.9859154929577465,0.9632789897568222
30,6,1000,5,0.9619883040935672,0.9464264264264264,0.9953051643192489,0.9702409069437884
30,15,1000,5,0.9532163742690059,0.9377777777777778,0.9906103286384976,0.9634703196347032
100,3,1000,5,0.956140350877193,0.9342105263157895,1.0,0.9659863945578232
100,4,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
100,5,1000,5,0.956140350877193,0.9342105263157895,1.0,0.9659863945578232
100,6,1000,5,0.9532163742690059,0.9417873172379302,0.9859154929577465,0.9632789897568222
100,15,1000,5,0.956140350877193,0.941981981981982,0.9906103286384976,0.9656746968981262
300,3,1000,5,0.9473684210526315,0.9220779220779219,1.0,0.9594594594594593
300,4,1000,5,0.956140350877193,0.9342105263157895,1.0,0.9659863945578232
300,5,1000,5,0.9619883040935672,0.9464264264264264,0.9953051643192489,0.9702409069437884
300,6,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
300,15,1000,5,0.9502923976608187,0.937529634898056,0.9859154929577465,0.9610759246227226
500,3,1000,5,0.9473684210526315,0.9220779220779219,1.0,0.9594594594594593
500,4,1000,5,0.9619883040935672,0.942514619883041,1.0,0.970397291336626
500,5,1000,5,0.956140350877193,0.9380701754385966,0.9953051643192489,0.9658310812909638
500,6,1000,5,0.956140350877193,0.941981981981982,0.9906103286384976,0.9656746968981262
500,15,1000,5,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104
