
n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,11,0.939076923076923,0.8949044585987261,1.0,0.9445378151260504
10,5,1000,11,0.9950769230769231,0.9905992949471211,1.0,0.9952774498229043
10,7,1000,11,0.9993846153846154,0.9988151658767772,1.0,0.999407231772377
30,3,1000,11,0.9827692307692307,0.9678530424799081,1.0,0.9836639439906651
30,5,1000,11,0.9926153846153846,0.9859649122807017,1.0,0.9929328621908127
30,7,1000,11,1.0,1.0,1.0,1.0
50,3,1000,11,0.9544615384615385,0.9193020719738277,1.0,0.9579545454545455
50,5,1000,11,0.9907692307692307,0.9825174825174825,1.0,0.9911816578483245
50,7,1000,11,1.0,1.0,1.0,1.0
100,3,1000,11,0.9569230769230769,0.9233296823658269,1.0,0.9601366742596811
100,5,1000,11,0.9907692307692307,0.9825174825174825,1.0,0.9911816578483245
100,7,1000,11,1.0,1.0,1.0,1.0
250,3,1000,11,0.9778461538461538,0.9590443686006825,1.0,0.9790940766550522
250,5,1000,11,0.9907692307692307,0.9825174825174825,1.0,0.9911816578483245
250,7,1000,11,1.0,1.0,1.0,1.0
500,3,1000,11,0.9686153846153847,0.9429530201342282,1.0,0.9706390328151986
500,5,1000,11,0.9907692307692307,0.9825174825174825,1.0,0.9911816578483245
500,7,1000,11,1.0,1.0,1.0,1.0
